repo_name,repo_owner,stars,forks,open_issues,description,creation_date,last_modification_date,primary_language,ml_libraries,has_tests,repo_size_kb,file_count,size_api_kb;
keras-rcnn,broadinstitute,555,222,71,Keras package for region-based convolutional neural networks (RCNNs),2017-04-25 13:32:06+00:00,2024-11-17 00:29:50+00:00,Python,,True,,,5321;
gtex-pipeline,broadinstitute,342,174,12,GTEx & TOPMed data production and analysis pipelines,2016-02-11 13:53:46+00:00,2024-12-20 07:36:57+00:00,Python,,False,,,2350;
"prosodic,quadrismegistus,276,42,4,""Prosodic: a metrical-phonological parser, written in Python. For English and Finnish, with flexible language support."",2011-04-20 03:50:07+00:00,2024-12-15 14:21:49+00:00,JavaScript,,True,,,55499";
TTS-Cube,tiberiu44,225,45,3,End-2-end speech synthesis with recurrent neural networks,2018-07-21 16:17:14+00:00,2024-08-28 06:09:24+00:00,Python,torch,False,,,789599;
"auto_ml,ClimbsRocks,1643,311,188,[UNMAINTAINED] Automated machine learning for analytics & production,2016-08-07 21:35:08+00:00,2024-12-12 04:21:29+00:00,Python,""scikit-learn,lightgbm"",True,,,1444";
"MobileNet-SSD,chuanqi305,2033,1177,150,""Caffe implementation of Google MobileNet SSD detection network, with pretrained weights on VOC0712 and mAP=0.727."",2017-06-08 12:10:58+00:00,2024-12-19 11:54:57+00:00,Python,,True,,,21963";
"tensorboardX,lanpa,7869,864,83,""tensorboard for pytorch (and chainer, mxnet, numpy, ...)"",2017-06-13 13:54:19+00:00,2024-12-20 12:53:53+00:00,Python,,True,,,5854";
streamlit,streamlit,35371,3072,1004,Streamlit — A faster way to build and share data apps.,2019-08-24 00:14:52+00:00,2024-12-20 15:16:44+00:00,Python,,False,,,546710;
"taskonomy,StanfordVL,845,145,33,""Taskonomy: Disentangling Task Transfer Learning [Best Paper, CVPR2018]"",2017-12-18 20:08:09+00:00,2024-12-20 02:47:09+00:00,Python,,False,,,28256";
yellowbrick,DistrictDataLabs,4288,557,98,Visual analysis and diagnostic tools to facilitate machine learning model selection.,2016-05-18 14:12:17+00:00,2024-12-19 11:52:38+00:00,Python,scikit-learn,True,,,80756;
code_for_fun,pyaf,170,42,4,Some of my scripts to automate the boring stuff around me,2017-05-11 09:20:10+00:00,2024-11-26 00:37:06+00:00,Python,,False,,,5861;
"kmodes,nicodv,1240,417,17,""Python implementations of the k-modes and k-prototypes clustering algorithms, for clustering categorical data"",2013-08-01 11:54:40+00:00,2024-12-19 10:43:58+00:00,Python,,True,,,490";
"bootstrap.pytorch,Cadene,195,29,19,""Highlevel framework for starting Deep Learning projects (lightweight, flexible, easy to extend)"",2018-01-11 14:14:14+00:00,2024-05-29 05:25:09+00:00,Python,torch,True,,,6657";
"pretrained-models.pytorch,Cadene,9032,1834,101,""Pretrained ConvNets for pytorch: NASNet, ResNeXt, ResNet, InceptionV4, InceptionResnetV2, Xception, DPN, etc."",2017-04-09 15:54:23+00:00,2024-12-19 04:38:38+00:00,Python,torch,True,,,532";
Facebook-Messenger-Bot,adeshpande3,712,266,35,Facebook chatbot that I trained to talk like me using Seq2Seq,2017-07-04 22:08:52+00:00,2024-12-07 18:39:00+00:00,Python,,False,,,2978;
civisml-extensions,civisanalytics,59,19,3,scikit-learn-compatible estimators from Civis Analytics,2017-09-11 17:20:15+00:00,2024-01-22 21:22:12+00:00,Python,scikit-learn,False,,,121;
convai,DeepPavlovAdmin,394,88,29,,2017-04-03 08:49:03+00:00,2024-12-15 08:08:03+00:00,Python,,False,,,125028;
tacotron,keithito,2954,959,137,A TensorFlow implementation of Google's Tacotron speech synthesis with pre-trained model (unofficial),2017-07-08 17:03:31+00:00,2024-12-20 13:23:30+00:00,Python,tensorflow,True,,,113;
atap,foxbook,389,281,13,Code for Applied Text Analysis with Python,2017-04-14 17:48:37+00:00,2024-09-03 03:19:02+00:00,Python,,False,,,15628;
docker-python,Kaggle,2444,948,19,Kaggle Python docker image,2015-04-14 01:45:38+00:00,2024-12-20 08:13:54+00:00,Python,,True,,,14054;
orion,Epistimio,283,52,218,Asynchronous Distributed Hyperparameter Optimization.,2017-09-07 06:05:21+00:00,2024-11-27 15:24:14+00:00,Python,,True,,,51561;
RMG-Py,ReactionMechanismGenerator,394,227,56,Python version of the amazing Reaction Mechanism Generator (RMG).,2009-10-09 21:16:17+00:00,2024-12-18 14:28:33+00:00,Python,,True,,,182744;
ICIAR2018,alexander-rakhlin,192,71,2,Our solution for ICIAR 2018 Grand Challenge,2018-01-22 01:40:57+00:00,2024-09-19 01:26:21+00:00,Python,,False,,,4780;
"snn_toolbox,NeuromorphicProcessorProject,361,105,3,""Toolbox for converting analog to spiking neural networks (ANN to SNN), and running them in a spiking neuron simulator."",2016-07-27 07:58:19+00:00,2024-12-13 15:20:42+00:00,Python,tensorflow,True,,,354285";
video_seg,linjieyangsc,151,24,5,OSMN: One-Shot Modulation Network for Semi-supervised Video Segmentation,2018-02-05 00:26:27+00:00,2024-07-29 05:38:32+00:00,Python,,False,,,5155;
doctorai,mp2893,272,111,3,Repository for Doctor AI project,2016-02-29 09:38:26+00:00,2024-10-28 23:12:13+00:00,Python,,True,,,30;
"Poker,dickreuter,2036,509,30,""Fully functional Pokerbot that works on PartyPoker, PokerStars and GGPoker, scraping tables with Open-CV (adaptable via gui) or neural network and making decisions based on a genetic algorithm and montecarlo simulation for poker equity calculation. Binaries can be downloaded with this link:"",2016-03-29 23:58:12+00:00,2024-12-20 07:21:54+00:00,Python,,True,,,155491";
poutyne,GRAAL-Research,569,63,8,A simplified framework and utilities for PyTorch,2017-12-07 18:30:17+00:00,2024-12-03 23:20:31+00:00,Python,torch,True,,,18404;
ml_sampler,facebookarchive,121,26,3,Model assisted random sampling.,2016-12-27 20:47:16+00:00,2024-01-04 16:10:06+00:00,Python,,True,,,2555;
sympy,sympy,12943,4423,5127,A computer algebra system written in pure Python,2010-04-30 20:37:14+00:00,2024-12-20 05:32:29+00:00,Python,,True,,,188574;
neural-style,anishathalye,5539,1511,3,Neural style in TensorFlow! 🎨,2015-11-21 23:40:00+00:00,2024-12-09 09:19:12+00:00,Python,tensorflow,False,,,2712;
THUMT,THUNLP-MT,704,197,24,An open-source neural machine translation toolkit developed by Tsinghua Natural Language Processing Group,2017-06-20 10:56:45+00:00,2024-12-13 03:16:33+00:00,Python,,False,,,4445;
seglearn,dmbee,570,63,5,Python module for machine learning time series:,2018-03-05 20:53:59+00:00,2024-11-30 11:46:04+00:00,Python,scikit-learn,False,,,19553;
piecewise_linear_fit_py,cjekel,303,62,39,fit piecewise linear data for a specified number of line segments,2017-03-30 17:14:14+00:00,2024-12-19 16:42:39+00:00,Python,,True,,,16531;
"tindetheus,cjekel,87,20,17,Build personalized machine learning models for Tinder using Python,2017-12-16 20:36:27+00:00,2024-12-20 14:06:28+00:00,Python,""tensorflow,scikit-learn"",True,,,2626";
ailearning,apachecn,39414,11435,3,AiLearning：数据分析+机器学习实战+线性代数+PyTorch+NLTK+TF2,2017-02-25 08:53:02+00:00,2024-12-20 15:39:43+00:00,Python,,False,,,171378;
"ENAS-pytorch,carpedm20,2702,494,40,""PyTorch implementation of """"Efficient Neural Architecture Search via Parameters Sharing"""""",2018-02-15 04:54:37+00:00,2024-12-16 12:25:21+00:00,Python,torch,False,,,13520";
Dialogue,baidu,443,97,21,,2018-09-17 07:02:35+00:00,2024-11-03 18:24:06+00:00,Python,,False,,,5465;
Synonyms,chatopera,5026,904,31,:herb: 中文近义词：聊天机器人，智能问答工具包,2017-09-25 08:23:35+00:00,2024-12-18 06:38:57+00:00,Python,,False,,,144112;
pycorrector,shibing624,5560,1093,2,pycorrector is a toolkit for text error correction. 文本纠错，实现了Kenlm，T5，MacBERT，ChatGLM3，Qwen2.5等模型应用在纠错场景，开箱即用。,2018-03-01 11:08:02+00:00,2024-12-20 11:17:05+00:00,Python,,True,,,53209;
nagisa,taishi-i,386,22,3,A Japanese tokenizer based on recurrent neural networks,2018-02-14 14:53:41+00:00,2024-11-22 06:34:27+00:00,Python,,True,,,41362;
nonconformist,donlnz,431,96,20,Python implementation of the conformal prediction framework.,2015-03-16 16:14:14+00:00,2024-12-20 12:51:25+00:00,Python,,False,,,1287;
"pycv,techfort,543,320,4,""Website of the book """"Learn OpenCV 3 with Python"""""",2015-04-03 06:31:37+00:00,2024-08-26 01:53:32+00:00,Python,,False,,,46851";
aliyun-odps-python-sdk,aliyun,434,97,4,ODPS Python SDK and data analysis framework,2015-10-30 07:07:59+00:00,2024-12-05 05:45:48+00:00,Python,,False,,,7620;
faceswap,deepfakes,52229,13210,29,Deepfakes Software For All,2017-12-19 09:44:13+00:00,2024-12-20 14:55:04+00:00,Python,,True,,,203576;
"pattern,clips,8737,1578,173,""Web mining module for Python, with tools for scraping, natural language processing, machine learning, network analysis and visualization."",2011-05-03 15:29:01+00:00,2024-12-19 16:54:42+00:00,Python,,True,,,52274";
Seq2Seq-Vis,HendrikStrobelt,461,74,34,Visualization for Sequential Neural Networks with Attention,2017-05-16 01:31:59+00:00,2024-11-21 07:46:31+00:00,Python,,True,,,6649;
nn4nlp-code,neubig,1308,488,7,Code Samples from Neural Networks for NLP,2017-08-27 23:34:26+00:00,2024-11-10 01:52:40+00:00,Python,,False,,,12206;
"keras-deeplab-v3-plus,bonlime,1357,428,39,Keras implementation of Deeplab v3+ with pretrained weights,2018-03-16 11:29:25+00:00,2024-12-17 07:00:41+00:00,Jupyter Notebook,""tensorflow,keras"",False,,,5247";
CSPN,XinJCheng,498,93,26,Convolutional Spatial Propagation Network,2018-07-19 07:13:03+00:00,2024-11-22 12:01:02+00:00,Python,,False,,,295;
tgen,UFAL-DSG,204,62,5,Statistical NLG for spoken dialogue systems,2015-04-22 11:41:23+00:00,2024-12-13 01:09:23+00:00,Python,tensorflow,False,,,1197;
"tensorpack,tensorpack,6300,1811,13,""A Neural Net Training Interface on TensorFlow, with focus on speed + flexibility"",2015-12-25 23:08:44+00:00,2024-12-20 05:11:04+00:00,Python,,True,,,9096";
insightface,deepinsight,23252,5400,1142,State-of-the-art 2D and 3D Face Analysis Project,2017-09-01 00:36:51+00:00,2024-12-20 14:26:52+00:00,Python,,False,,,58695;
"datasketch,ekzhu,2543,293,53,""MinHash, LSH, LSH Forest, Weighted MinHash, HyperLogLog, HyperLogLog++, LSH Ensemble and HNSW"",2015-03-20 01:21:46+00:00,2024-12-16 13:10:40+00:00,Python,,True,,,5960";
memcnn,silvandeleemput,251,26,14,PyTorch Framework for Developing Memory Efficient Deep Invertible Networks,2018-02-26 14:11:31+00:00,2024-12-18 06:41:57+00:00,Python,torch,False,,,410;
ai-chatbot-framework,alfredfrancis,1969,712,8,A python chatbot framework with Natural Language Understanding and Artificial Intelligence.,2016-12-16 19:10:56+00:00,2024-12-13 14:11:29+00:00,Python,scikit-learn,True,,,15631;
donkeycar,autorope,3150,1300,121,Open source hardware and software platform to build a small scale self driving car.,2016-12-10 06:35:09+00:00,2024-12-19 12:02:59+00:00,Python,,False,,,92299;
tgif-qa,YunseokJANG,168,31,0,Repository for our CVPR 2017 and IJCV: TGIF-QA,2017-04-10 06:19:51+00:00,2024-12-03 14:28:29+00:00,Python,,False,,,28897;
