repo_name,repo_owner,stars,forks,open_issues,description,creation_date,last_modification_date,primary_language,ml_libraries,has_tests,repo_size_kb,file_count,size_api_kb;
wavenet_vocoder,r9y9,2320,499,22,WaveNet vocoder,2017-12-27 07:03:23+00:00,2024-12-20 09:54:11+00:00,Python,,True,,,20697;
pysptk,r9y9,439,79,4,A python wrapper for Speech Signal Processing Toolkit (SPTK).,2015-08-30 05:40:22+00:00,2024-11-05 03:37:47+00:00,Python,,True,,,16093;
nnmnkwii,r9y9,393,74,5,Library to build speech synthesis systems designed for easy and fast prototyping.,2017-07-05 14:33:50+00:00,2024-10-23 08:30:06+00:00,Python,,True,,,83568;
lore,instacart,1550,135,21,Lore makes machine learning approachable for Software Engineers and maintainable for Machine Learning Researchers,2017-10-19 21:51:45+00:00,2024-12-19 09:49:15+00:00,Python,,True,,,1641;
inferno,inferno-pytorch,244,41,19,A utility library around PyTorch,2017-06-07 19:19:48+00:00,2024-06-10 06:54:43+00:00,Python,,True,,,40552;
text-to-image,zsdonghao,598,162,35,Generative Adversarial Text to Image Synthesis / Please Star -->,2016-11-02 13:50:16+00:00,2024-12-15 11:11:56+00:00,Python,,False,,,773;
iss-rnns,wenwei202,73,21,4,Sparse Recurrent Neural Networks -- Pruning Connections and Hidden Sizes (TensorFlow),2017-09-07 19:38:31+00:00,2024-11-14 19:28:24+00:00,Python,,False,,,9221;
anvio,merenlab,439,145,164,An analysis and visualization platform for 'omics data,2014-02-26 00:35:29+00:00,2024-12-17 13:42:15+00:00,Python,scikit-learn,False,,,781396;
nltk,nltk,13562,2886,277,NLTK Source,2009-09-07 10:53:58+00:00,2024-12-20 14:14:59+00:00,Python,,True,,,354598;
autokeras,keras-team,9137,1401,144,AutoML library for deep learning,2017-11-19 23:18:20+00:00,2024-12-20 10:11:47+00:00,Python,,False,,,45538;
recipy,recipy,438,41,89,Effortless method to record provenance in Python,2015-03-27 09:07:42+00:00,2024-11-28 16:30:52+00:00,Python,,True,,,1154;
"nara_wpe,fgnt,489,165,12,""Different implementations of """"Weighted Prediction Error"""" for speech dereverberation"",2017-10-26 08:19:07+00:00,2024-12-13 01:14:14+00:00,Python,,True,,,4049";
pb_bss,fgnt,269,60,5,Collection of EM algorithms for blind source separation of audio signals,2017-06-05 07:11:09+00:00,2024-12-11 17:26:11+00:00,Python,,True,,,627;
caffe,BVLC,34094,18700,1187,Caffe: a fast open framework for deep learning.,2013-09-12 18:39:48+00:00,2024-12-20 09:33:16+00:00,C++,,False,,,76170;
metric-learn,scikit-learn-contrib,1397,234,51,Metric learning algorithms in Python,2013-11-02 08:29:47+00:00,2024-12-16 02:30:23+00:00,Python,,True,,,12624;
"HiCExplorer,deeptools,233,70,125,""HiCExplorer is a powerful and easy to use set of tools to process, normalize and visualize Hi-C data."",2015-02-16 13:31:19+00:00,2024-12-10 06:27:40+00:00,Python,scikit-learn,True,,,613378";
muse-lsl,alexandrebarachant,625,183,56,Python script to stream EEG data from the muse 2016 headset,2017-01-27 13:31:25+00:00,2024-12-16 05:41:59+00:00,Python,,False,,,39945;
pyRiemann,pyRiemann,635,164,5,Machine learning for multivariate data through the Riemannian geometry of positive definite matrices in Python,2015-04-19 16:01:44+00:00,2024-12-18 11:15:32+00:00,Python,scikit-learn,True,,,1452;
"labelme,wkentaro,13406,3390,144,""Image Polygonal Annotation with Python (polygon, rectangle, circle, line, point and image-level flag annotation)."",2016-05-09 12:30:26+00:00,2024-12-20 10:25:00+00:00,Python,,True,,,48093";
waifu2x-chainer,tsurumeso,164,54,12,Chainer implementation of waifu2x,2016-12-25 14:43:42+00:00,2024-10-30 21:19:38+00:00,Python,,False,,,190008;
HyperGAN,HyperGAN,1193,165,20,Composable GAN framework with api and user interface,2016-06-24 22:49:56+00:00,2024-12-01 13:53:35+00:00,Python,torch,True,,,39062;
hyperspy,hyperspy,516,210,274,Multidimensional data analysis,2011-08-19 13:14:36+00:00,2024-12-18 05:52:43+00:00,Python,,False,,,315276;
"DaNet-Tensorflow,khaotik,89,41,6,""Tensorflow implementation of """"Speaker-independent Speech Separation with Deep Attractor Network"""""",2017-07-30 09:12:15+00:00,2024-08-13 23:22:23+00:00,Python,,False,,,85";
"limited-blackbox-attacks,labsix,172,43,12,""Code for """"Black-box Adversarial Attacks with Limited Queries and Information"""" (http://arxiv.org/abs/1804.08598)"",2018-03-25 05:42:07+00:00,2024-11-20 09:02:47+00:00,Python,,False,,,43";
SNIPER,mahyarnajibi,2689,450,116,SNIPER / AutoFocus is an efficient multi-scale object detection training / inference algorithm,2018-01-13 14:45:42+00:00,2024-12-19 09:59:51+00:00,Python,,True,,,22608;
nlg-eval,Maluuba,1346,223,27,Evaluation code for various unsupervised automated metrics for Natural Language Generation.,2017-06-27 17:48:22+00:00,2024-12-20 08:50:24+00:00,Python,scikit-learn,True,,,96725;
cloudml-samples,GoogleCloudPlatform,1516,856,0,Cloud ML Engine repo. Please visit the new Vertex AI samples repo at https://github.com/GoogleCloudPlatform/vertex-ai-samples,2016-09-29 14:36:12+00:00,2024-12-12 14:42:27+00:00,Python,,True,,,86306;
healthcare,GoogleCloudPlatform,374,167,51,,2018-02-23 00:33:00+00:00,2024-12-14 12:27:12+00:00,Python,,False,,,31500;
tensorflow-object-detection-example,GoogleCloudPlatform,186,90,1,,2017-07-07 21:44:05+00:00,2024-08-09 09:00:41+00:00,Python,,False,,,251;
"PerfKitBenchmarker,GoogleCloudPlatform,1905,510,250,""PerfKit Benchmarker (PKB) contains a set of benchmarks to measure and compare cloud offerings. The benchmarks use default settings to reflect what most users will see. PerfKit Benchmarker is licensed under the Apache 2 license terms. Please make sure to read, understand and agree to the terms of the LICENSE and CONTRIBUTING files before proceeding."",2014-07-17 17:23:26+00:00,2024-12-20 15:09:44+00:00,Python,,True,,,28574";
professional-services,GoogleCloudPlatform,2826,1333,46,Common solutions and tools developed by Google Cloud's Professional Services team. This repository and its contents are not an officially supported Google product.,2017-05-18 19:29:27+00:00,2024-12-19 00:45:58+00:00,Python,,False,,,409344;
python-docs-samples,GoogleCloudPlatform,7443,6428,113,Code samples used on cloud.google.com,2015-05-04 23:26:13+00:00,2024-12-20 14:05:33+00:00,Jupyter Notebook,,True,,,252237;
cloud-dataproc,GoogleCloudDataproc,198,123,6,Cloud Dataproc: Samples and Utils,2016-11-02 05:49:22+00:00,2024-12-18 20:35:01+00:00,Jupyter Notebook,,False,,,3219;
ml-on-gcp,GoogleCloudPlatform,483,178,48,Machine Learning on Google Cloud Platform,2017-08-21 21:05:18+00:00,2024-12-10 06:00:24+00:00,Python,,False,,,13356;
Mathics,mathics,2075,205,161,This repository is for archival. Please see https://github.com/Mathics3/mathics-core,2011-02-08 11:53:13+00:00,2024-12-20 08:39:37+00:00,Python,,True,,,21396;
"open-solution-data-science-bowl-2018,minerva-ml,157,43,0,Open solution to the Data Science Bowl 2018,2018-01-15 14:30:27+00:00,2024-06-20 06:47:54+00:00,Python,""torch,scikit-learn"",False,,,7372";
Conditional_Density_Estimation,freelunchtheorem,186,24,4,Package implementing various parametric and nonparametric methods for conditional density estimation,2017-12-18 17:52:01+00:00,2024-12-17 18:01:48+00:00,Python,tensorflow,True,,,10697;
FoolNLTK,rockyzhengwu,1676,386,14,A Chinese Nature Language Toolkit,2017-12-15 01:54:42+00:00,2024-12-19 04:10:43+00:00,Python,tensorflow,True,,,120684;
gqcnn,BerkeleyAutomation,311,149,23,Python module for GQ-CNN training and deployment with ROS integration.,2017-04-26 06:22:27+00:00,2024-12-14 03:23:28+00:00,Python,,False,,,162871;
"Code-Sleep-Python,prateekiiest,469,218,7,""Awesome Projects in Python - Machine Learning Applications, Games, Desktop Applications all in Python :snake:"",2017-05-09 09:52:55+00:00,2024-11-29 01:02:37+00:00,Python,scikit-learn,False,,,24871";
"pdftotree,HazyResearch,431,92,22,"":evergreen_tree: A tool for converting PDF into hOCR with text, tables, and figures being recognized and preserved."",2017-12-20 21:02:01+00:00,2024-12-13 01:37:53+00:00,Python,,True,,,14472";
fonduer,HazyResearch,408,77,16,A knowledge base construction engine for richly formatted data,2018-02-02 22:03:13+00:00,2024-12-03 05:54:48+00:00,Python,,True,,,12036;
BioSPPy,PIA-Group,579,274,3,Biosignal Processing in Python,2015-07-24 16:57:31+00:00,2024-12-16 14:16:56+00:00,Python,scikit-learn,False,,,2631;
tangent,google,2314,434,21,Source-to-Source Debuggable Derivatives in Pure Python,2017-10-26 20:02:46+00:00,2024-12-12 16:44:13+00:00,Python,,True,,,25786;
language-resources,google,371,89,7,Datasets and tools for basic natural language processing.,2015-09-09 19:59:20+00:00,2024-11-29 03:30:19+00:00,C++,,False,,,79390;
mozc-devices,google,2180,146,0,Circuit diagrams and firmware source code for Gboard DIY keyboards,2015-03-25 02:36:00+00:00,2024-12-15 20:22:41+00:00,Python,,False,,,32006;
unrestricted-adversarial-examples,openphilanthropy,329,55,19,Contest Proposal and infrastructure for the Unrestricted Adversarial Examples Challenge,2018-08-15 19:51:45+00:00,2024-12-08 15:11:06+00:00,Python,,True,,,3255;
ffn,google,317,100,19,Flood-Filling Networks for instance segmentation in 3d volumes.,2017-11-10 19:13:38+00:00,2024-12-17 11:56:24+00:00,Python,tensorflow,False,,,3655;
"tf_mesh_renderer,google,493,112,0,""A differentiable, 3D mesh renderer using TensorFlow."",2018-01-04 21:48:05+00:00,2024-11-15 02:41:45+00:00,Python,,True,,,1288";
deepvariant,google,3214,724,3,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA sequencing data.,2017-11-23 01:56:22+00:00,2024-12-19 05:23:44+00:00,Python,,True,,,824553;
"uis-rnn,google,1557,319,12,""This is the library for the Unbounded Interleaved-State Recurrent Neural Network (UIS-RNN) algorithm, corresponding to the paper Fully Supervised Speaker Diarization."",2018-10-23 08:13:24+00:00,2024-12-19 03:00:08+00:00,Python,torch,True,,,112151";
nucleus,google,784,125,3,Python and C++ code for reading and writing genomics data.,2018-03-26 17:58:07+00:00,2024-12-13 16:29:57+00:00,C++,,False,,,6423;
nolds,CSchoel,256,57,17,Nonlinear measures for dynamical systems (based on one-dimensional time series),2016-08-04 14:45:01+00:00,2024-12-16 04:37:27+00:00,Python,,False,,,1070;
rankeval,hpclab,88,11,4,Official repository of RankEval: An Evaluation and Analysis Framework for Learning-to-Rank Solutions.,2017-05-30 14:40:45+00:00,2024-07-18 13:10:33+00:00,Python,,False,,,8106;
"pySCENIC,aertslab,432,180,198,""pySCENIC is a lightning-fast python implementation of the SCENIC pipeline (Single-Cell rEgulatory Network Inference and Clustering) which enables biologists to infer transcription factors, gene regulatory networks and cell types from single-cell RNA-seq data."",2018-03-07 13:57:49+00:00,2024-12-20 14:51:00+00:00,Python,scikit-learn,True,,,36378";
"torchbearer,pytorchbearer,635,65,10,torchbearer: A model fitting library for PyTorch,2018-03-12 16:30:42+00:00,2024-12-12 02:30:21+00:00,Python,""torch,scikit-learn"",True,,,8264";
ml-glossary,bfortuner,3011,722,22,Machine learning glossary,2017-04-20 16:05:19+00:00,2024-12-17 12:30:16+00:00,Python,,False,,,8350;
"nsgt,grrrr,95,28,9,""Non Stationary Gabor Transform (NSGT), Python implementation"",2015-03-25 22:46:13+00:00,2024-07-07 17:20:28+00:00,Python,,True,,,166";
flare,austin-taylor,447,86,3,An analytical framework for network traffic and behavioral analytics,2016-11-10 00:14:39+00:00,2024-12-13 18:52:32+00:00,Python,,False,,,57992;
"rasa,RasaHQ,18860,4630,126,""💬   Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management, connect to Slack, Facebook, and more - Create chatbots and voice assistants"",2016-10-14 12:27:49+00:00,2024-12-20 09:57:18+00:00,Python,,True,,,1611019";
proSR,fperazzi,27,10,2,,2021-07-28 07:24:31+00:00,2024-09-02 19:22:52+00:00,Python,,True,,,1121;
Autopilot-TensorFlow,SullyChen,1266,427,19,A TensorFlow implementation of this Nvidia paper: https://arxiv.org/pdf/1604.07316.pdf with some changes,2016-10-01 20:18:23+00:00,2024-11-30 13:40:55+00:00,Python,,False,,,35583;
"MMdnn,microsoft,5794,965,337,""MMdnn is a set of tools to help users inter-operate among different deep learning frameworks. E.g. model conversion and visualization. Convert models between Caffe, Keras, MXNet, Tensorflow, CNTK, PyTorch Onnx and CoreML."",2017-08-16 08:03:52+00:00,2024-12-17 09:09:16+00:00,Python,,True,,,37216";
"nni,microsoft,14028,1812,417,""An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural architecture search, model compression and hyper-parameter tuning."",2018-06-01 05:51:44+00:00,2024-12-20 10:25:52+00:00,Python,,True,,,133124";
"dowhy,py-why,7087,933,136,""DoWhy is a Python library for causal inference that supports explicit modeling and testing of causal assumptions. DoWhy is based on a unified language for causal inference, combining causal graphical models and potential outcomes frameworks. "",2018-05-31 13:07:04+00:00,2024-12-19 23:54:57+00:00,Python,,True,,,730716";
duecredit,duecredit,238,28,58,Automated collection and reporting of citations for used software/methods/datasets,2015-04-15 14:56:22+00:00,2024-10-16 06:19:02+00:00,Python,,False,,,1242;
mlmpy,tkamishima,105,36,0,Machine Learning Meets Python : A tutorial of NumPy / SciPy for machine learners who want to implement their own algotithms in Python (written in Japanese),2012-04-24 17:59:32+00:00,2023-09-15 09:15:38+00:00,Python,,False,,,1312;
CaseRecommender,caserec,484,91,6,Case Recommender: A Flexible and Extensible Python Framework for Recommender Systems,2015-11-12 18:25:39+00:00,2024-12-18 14:33:50+00:00,Python,scikit-learn,False,,,1418;
modAL,modAL-python,2214,324,104,A modular active learning framework for Python,2017-11-14 14:01:15+00:00,2024-12-19 10:54:14+00:00,Python,,True,,,9570;
"hardnet,DagnyT,513,100,6,""Hardnet descriptor model - """"Working hard to know your neighbor's margins:  Local descriptor learning loss"""""",2017-05-29 19:29:35+00:00,2024-12-19 08:14:15+00:00,Python,,False,,,124286";
is13,mesnilgr,428,218,0,RNN for Spoken Language Understanding,2013-09-15 22:10:54+00:00,2024-11-16 08:22:46+00:00,Python,,False,,,26;
"stanza,stanfordnlp,7278,892,98,""Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages"",2017-09-26 08:00:56+00:00,2024-12-20 13:22:14+00:00,Python,,False,,,86286";
stellargraph,stellargraph,2945,431,324,StellarGraph - Machine Learning on Graphs,2018-04-13 07:35:51+00:00,2024-12-18 20:51:59+00:00,Python,,True,,,97013;
"pytorch-grad-cam,jacobgil,10464,1553,137,""Advanced AI Explainability for computer vision.  Support for CNNs, Vision Transformers, Classification, Object detection, Segmentation, Image similarity and more."",2017-05-31 19:55:15+00:00,2024-12-20 10:38:12+00:00,Python,""torch,scikit-learn"",True,,,140846";
webvectors,akutuzov,197,49,2,Web-ify your word2vec: framework to serve distributional semantic models online,2015-10-24 22:17:52+00:00,2024-09-21 16:21:30+00:00,Python,scikit-learn,False,,,5084;
kepler-mapper,scikit-tda,631,183,30,Kepler Mapper: A flexible Python implementation of the Mapper algorithm.,2015-08-20 14:57:52+00:00,2024-12-15 15:51:32+00:00,Python,,True,,,49377;
"HCN-pytorch,huguyuehuhu,219,58,14,A  pytorch reproduction of { Co-occurrence Feature Learning from Skeleton Data for Action Recognition and Detection with Hierarchical Aggregation }.,2018-08-27 14:05:13+00:00,2024-11-22 07:14:12+00:00,Python,""torch,scikit-learn"",False,,,364";
TensorFlow-Object-Detection-API-Tutorial-Train-Multiple-Objects-Windows-10,EdjeElectronics,2919,1298,415,How to train a TensorFlow Object Detection Classifier for multiple object detection on Windows,2018-02-10 04:53:03+00:00,2024-12-18 02:55:36+00:00,Python,,True,,,59161;
"SRGAN,leftthomas,1153,346,2,""A PyTorch implementation of SRGAN based on CVPR 2017 paper """"Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network"""""",2017-11-05 00:40:07+00:00,2024-12-20 05:42:06+00:00,Python,,True,,,32943";
"osmnx,gboeing,4864,826,3,""OSMnx is a Python package to easily download, model, analyze, and visualize street networks and other geospatial features from OpenStreetMap."",2016-07-24 02:57:47+00:00,2024-12-19 22:03:31+00:00,Python,,True,,,8042";
neurite,adalca,338,66,20,Neural networks toolbox focused on medical image analysis,2017-03-10 01:25:06+00:00,2024-12-18 08:27:17+00:00,Python,,False,,,785;
"Sentence-VAE,timbmg,586,153,13,""PyTorch Re-Implementation of """"Generating Sentences from a Continuous Space"""" by Bowman et al 2015 https://arxiv.org/abs/1511.06349"",2018-03-05 10:06:01+00:00,2024-12-05 03:04:06+00:00,Python,torch,False,,,253";
NewsBlur,samuelclay,6882,1000,166,NewsBlur is a personal news reader that brings people together to talk about the world. A new sound of an old instrument.,2009-01-05 14:00:43+00:00,2024-12-19 21:26:03+00:00,Objective-C,,True,,,894124;
uSpeech,arjo129,472,100,6,Speech recognition toolkit for the arduino,2012-08-12 03:07:14+00:00,2024-11-26 10:41:40+00:00,C++,,False,,,494;
pytorch-beginner,L1aoXingyu,2990,1087,20,pytorch tutorial for beginners,2017-05-10 02:18:22+00:00,2024-12-19 06:10:14+00:00,Python,,False,,,838;
pyinstaller,pyinstaller,11858,1939,284,Freeze (package) Python programs into stand-alone executables,2011-11-23 11:05:56+00:00,2024-12-20 10:00:11+00:00,Python,,True,,,67642;
"tslearn,tslearn-team,2903,339,138,The machine learning toolkit for time series analysis in Python,2017-05-04 13:08:13+00:00,2024-12-19 16:17:24+00:00,Python,""tensorflow,scikit-learn"",True,,,7450";
"horovod,horovod,14241,2234,406,""Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet."",2017-08-09 19:39:59+00:00,2024-12-20 10:16:18+00:00,Python,,True,,,6949";
"delft,kermitt2,387,64,32,a Deep Learning Framework for Text https://delft.readthedocs.io/,2018-04-13 22:15:32+00:00,2024-12-09 02:26:20+00:00,Python,""tensorflow,torch,scikit-learn"",True,,,872150";
nltk-trainer,japerk,747,225,4,Train NLTK objects with zero code,2010-10-17 17:32:40+00:00,2024-12-19 15:16:12+00:00,Python,,True,,,235;
"pyannote-audio,pyannote,6206,766,63,""Neural building blocks for speaker diarization: speech activity detection, speaker change detection, overlapped speech detection, speaker embedding "",2016-03-07 17:26:15+00:00,2024-12-20 13:37:41+00:00,Jupyter Notebook,torch,True,,,264161";
"inaSpeechSegmenter,ina-foss,747,127,11,""CNN-based audio segmentation toolkit. Allows to detect speech, music, noise and speaker gender. Has been designed for large scale gender equality studies based on speech time per gender."",2018-03-12 16:47:17+00:00,2024-12-19 08:37:15+00:00,Python,,True,,,38411";
"texar,asyml,2389,373,38,""Toolkit for Machine Learning, Natural Language Processing, and Text Generation, in TensorFlow.  This is part of the CASL project: http://casl-project.ai/"",2017-07-22 19:02:05+00:00,2024-11-30 02:34:05+00:00,Python,tensorflow,True,,,14241";
"strawberryfields,XanaduAI,754,189,40,""Strawberry Fields is a full-stack Python library for designing, simulating, and optimizing continuous variable (CV) quantum optical circuits."",2018-03-26 14:38:39+00:00,2024-12-15 11:01:04+00:00,Python,tensorflow,True,,,21989";
pymanopt,pymanopt,758,150,51,Python toolbox for optimization on Riemannian manifolds with support for automatic differentiation,2015-11-02 09:45:08+00:00,2024-12-19 08:21:46+00:00,Python,,True,,,2422;
plotnine,has2k1,4013,217,83,A Grammar of Graphics for Python,2017-04-24 19:00:44+00:00,2024-12-20 03:58:43+00:00,Python,,True,,,160087;
refinebio,AlexsLemonade,129,19,487,Refine.bio harmonizes petabytes of publicly available biological data into ready-to-use datasets for cancer researchers and AI/ML scientists.,2017-03-13 19:42:31+00:00,2024-09-23 13:11:05+00:00,Python,,True,,,547199;
TopDeepLearning,aymericdamien,5885,1196,18,A list of popular github projects related to deep learning,2016-04-27 04:13:03+00:00,2024-12-19 17:57:24+00:00,Python,,False,,,109;
catalyst,catalyst-team,3288,388,3,Accelerated deep learning R&D,2018-08-20 07:56:13+00:00,2024-12-20 07:33:09+00:00,Python,,True,,,55187;
handtracking,victordibia,1649,458,17,Building a Real-time Hand-Detector using Neural Networks (SSD) on Tensorflow,2017-11-26 05:47:39+00:00,2024-12-06 08:26:04+00:00,Python,tensorflow,True,,,248064;
pySBD,nipunsadvilkar,797,83,28,🐍💯pySBD (Python Sentence Boundary Disambiguation) is a rule-based sentence boundary detection that works out-of-the-box.,2017-06-11 06:15:20+00:00,2024-12-16 10:29:48+00:00,Python,,True,,,3369;
freesound,MTG,316,88,149,The Freesound website,2012-11-07 18:25:03+00:00,2024-12-20 07:32:06+00:00,Python,scikit-learn,True,,,70486;
sPyNNaker,SpiNNakerManchester,103,43,121,The SpiNNaker implementation of the PyNN neural networking language,2014-06-13 11:07:19+00:00,2024-12-06 14:12:22+00:00,Python,,True,,,448920;
optuna,optuna,10787,1026,69,A hyperparameter optimization framework,2018-02-21 06:12:56+00:00,2024-12-20 09:53:43+00:00,Python,,True,,,20784;
Pointnet2_PyTorch,erikwijmans,1508,341,66,PyTorch implementation of Pointnet2/Pointnet++,2017-12-26 23:20:11+00:00,2024-12-18 01:04:47+00:00,Python,torch,True,,,976;
"NeuroKit.py,neuropsychology,366,102,33,""A Python Toolbox for Statistics and Neurophysiological Signal Processing (EEG, EDA, ECG, EMG...)."",2016-12-12 07:48:40+00:00,2024-12-13 20:40:16+00:00,Python,,True,,,234556";
CharCnn_Keras,mhjabreel,151,93,13,The implementation of text classification using character level convoultion neural networks using Keras,2016-07-09 15:46:50+00:00,2024-10-30 12:40:17+00:00,Python,tensorflow,False,,,11570;
spark-deep-learning,databricks,1993,494,87,Deep Learning Pipelines for Apache Spark,2017-05-31 17:30:28+00:00,2024-12-19 06:57:49+00:00,Python,,True,,,8678;
"imgclsmob,osmr,2968,563,13,Sandbox for training deep learning networks,2018-07-09 12:57:46+00:00,2024-12-14 13:30:47+00:00,Python,""tensorflow,torch,keras"",True,,,16338";
fancyimpute,iskandr,1250,178,2,Multivariate imputation and matrix completion algorithms implemented in Python,2015-11-05 23:39:34+00:00,2024-12-14 12:41:36+00:00,Python,scikit-learn,True,,,293;
golden-horse,hltcoe,546,174,6,Named Entity Recognition for Chinese social media (Weibo). From EMNLP 2015 paper.,2015-08-13 19:55:43+00:00,2024-12-14 12:51:14+00:00,Python,,False,,,38724;
scikit-survival,sebp,1130,214,28,Survival analysis built on top of scikit-learn,2016-12-26 22:15:53+00:00,2024-12-20 00:28:59+00:00,Python,,True,,,7002;
"ai-seminar,HYU-AILAB,82,17,2,""AI & Deep Leanring Seminar @ Artificial Intelligence Lab, Hanyang University"",2017-10-24 05:32:51+00:00,2024-03-13 15:45:58+00:00,Jupyter Notebook,,False,,,377510";
prosaic,vilmibm,123,21,19,cut-up poetry generation over large corpora,2014-04-04 01:47:45+00:00,2024-12-15 01:44:37+00:00,Python,,True,,,83921;
kur,deepgram,816,107,17,Descriptive Deep Learning,2016-11-19 02:42:09+00:00,2024-12-04 13:12:03+00:00,Python,,True,,,1873;
"deep_learning_and_the_game_of_go,maxpumperla,983,389,55,""Code and other material for the book """"Deep Learning and the Game of Go"""""",2017-10-25 21:32:32+00:00,2024-12-17 02:51:05+00:00,Python,,False,,,328095";
elephas,maxpumperla,1574,312,9,Distributed Deep learning with Keras & Spark,2015-08-13 12:09:19+00:00,2024-11-04 07:48:22+00:00,Python,tensorflow,True,,,2682;
"astroML,astroML,1053,309,67,""Machine learning, statistics, and data mining for astronomy and astrophysics"",2012-10-17 22:33:50+00:00,2024-12-10 12:31:54+00:00,Python,,False,,,9834";
"dcscn-super-resolution,jiny2001,707,216,38,""A tensorflow implementation of """"Fast and Accurate Image Super Resolution by Deep CNN with Skip Connection and Network in Network"""", a deep learning based Single-Image Super-Resolution (SISR) model."",2017-06-13 07:01:27+00:00,2024-10-23 09:37:02+00:00,Python,,False,,,397981";
PyTorchZeroToAll,hunkim,3891,1202,34,Simple PyTorch Tutorials Zero to ALL!,2017-10-04 23:14:04+00:00,2024-12-19 08:03:53+00:00,Python,torch,False,,,54037;
"nlp-architect,IntelLabs,2937,446,14,A model library for exploring state-of-the-art deep learning topologies and techniques for optimizing Natural Language Processing neural networks,2018-05-17 21:00:13+00:00,2024-12-17 13:51:32+00:00,Python,""tensorflow,torch,scikit-learn"",True,,,556787";
coach,IntelLabs,2328,461,90,Reinforcement Learning Coach by Intel AI Lab enables easy experimentation with state of the art Reinforcement Learning algorithms,2017-10-01 19:27:43+00:00,2024-12-19 13:51:31+00:00,Python,,False,,,75315;
brainiak,brainiak,334,137,92,Brain Imaging Analysis Kit,2016-02-08 23:19:27+00:00,2024-12-18 13:17:13+00:00,Python,,True,,,13203;
recordlinkage,J535D165,959,153,63,A powerful and modular toolkit for record linkage and duplicate detection in Python,2015-10-18 09:00:02+00:00,2024-12-20 04:30:31+00:00,Python,,True,,,73399;
"vaderSentiment,cjhutto,4447,1004,52,""VADER Sentiment Analysis. VADER (Valence Aware Dictionary and sEntiment Reasoner) is a lexicon and rule-based sentiment analysis tool that is specifically attuned to sentiments expressed in social media, and works well on texts from other domains. "",2014-11-17 16:31:45+00:00,2024-12-20 10:44:14+00:00,Python,,False,,,2675";
catalyst,catalyst-team,3288,388,3,Accelerated deep learning R&D,2018-08-20 07:56:13+00:00,2024-12-20 07:33:09+00:00,Python,,True,,,55187;
ArtGAN,cs-chan,411,66,3,ArtGAN + WikiArt: This work presents a series of new approaches to improve GAN for conditional image synthesis and we name the proposed model as “ArtGAN”. ,2016-12-31 05:58:19+00:00,2024-11-26 02:24:55+00:00,Python,,False,,,50335;
"NCRFpp,jiesutd,1885,446,12,""NCRF++, a Neural Sequence Labeling Toolkit. Easy use to any sequence labeling tasks (e.g. NER, POS, Segmentation). It includes character LSTM/CNN, word LSTM/CNN and softmax/CRF components. "",2017-12-06 09:04:43+00:00,2024-12-18 06:23:25+00:00,Python,,False,,,7125";
fast-neural-style,abhiskk,427,82,5, pytorch implementation of fast-neural-style,2017-03-12 17:49:06+00:00,2024-11-09 10:10:49+00:00,Python,torch,False,,,52615;
imgaug,aleju,14388,2442,309,Image augmentation for machine learning experiments.,2015-07-10 20:31:33+00:00,2024-12-20 05:49:42+00:00,Python,,True,,,28618;
"hgru4rec,mquad,214,71,8,""Code for our ACM RecSys 2017 paper """"Personalizing Session-based Recommendation with Hierarchical Recurrent Neural Networks"""""",2017-06-13 14:58:21+00:00,2024-10-29 03:29:12+00:00,Python,,False,,,28";
orange3,biolab,4853,1013,144,🍊 :bar_chart: :bulb: Orange: Interactive data analysis,2013-02-22 12:52:56+00:00,2024-12-20 10:45:12+00:00,Python,,True,,,102969;
mlflow,mlflow,18612,4220,1659,Open source platform for the machine learning lifecycle,2018-06-05 16:05:58+00:00,2024-12-20 14:10:15+00:00,Python,,True,,,793504;
ottertune,cmu-db,1216,311,19,The automatic DBMS configuration tool,2017-04-13 22:52:23+00:00,2024-11-28 16:33:18+00:00,Python,,False,,,4056;
Anti-Anti-Spider,luyishisi,7284,2174,26,越来越多的网站具有反爬虫特性，有的用图片隐藏关键数据，有的使用反人类的验证码，建立反反爬虫的代码仓库，通过与不同特性的网站做斗争（无恶意）提高技术。（欢迎提交难以采集的网站）（因工作原因，项目暂停） ,2016-11-14 01:18:11+00:00,2024-12-20 01:04:53+00:00,Python,,False,,,150743;
"allennlp,allenai,11749,2249,91,""An open-source NLP research library, built on PyTorch."",2017-05-15 15:52:41+00:00,2024-12-19 10:25:59+00:00,Python,""torch,scikit-learn"",True,,,74709";
deep-person-reid,KaiyangZhou,4294,1142,151,Torchreid: Deep learning person re-identification in PyTorch.,2018-03-11 21:14:39+00:00,2024-12-18 15:23:01+00:00,Python,tensorflow,False,,,9804;
"Stock-Analysis,Vaibhav,393,105,2,""Regression, Scrapers, and Visualization"",2016-07-10 04:37:13+00:00,2024-12-19 22:11:17+00:00,Jupyter Notebook,scikit-learn,False,,,11891";
